Open,High,Low,Close,Adj Close,Volume
29.184999,29.375,29.17,29.237499,27.690388,85700000
29.200001,29.35,29.195,29.264999,27.716433,95132800
29.0875,29.127501,28.91,29.0725,27.534115,104343600
28.897499,29.129999,28.897499,29.129999,27.588572,56998000
29.129999,29.450001,29.122499,29.315001,27.763786,73187600
29.379999,29.504999,29.049999,29.190001,27.645403,83623600
29.112499,29.2775,29.1,29.182501,27.638296,60158000
29.1625,29.299999,28.8575,28.955,27.422834,122345200
28.950001,29.0825,28.690001,29.0375,27.500973,115127600
28.9625,29.127501,28.9375,29.004999,27.470192,84472400
28.98,29.215,28.952499,29.1525,27.609884,88774400
29.195,29.540001,29.1175,29.477501,27.917688,127007600
29.487499,29.8575,29.485001,29.747499,28.173399,134247600
29.692499,29.844999,29.575001,29.7775,28.201811,97848400
29.684999,29.9825,29.65,29.9375,28.353342,110354400
29.725,29.825001,29.5525,29.8125,28.234957,108344800
29.7775,29.905001,29.702499,29.76,28.18524,104447600
29.584999,30.059999,29.555,30,28.41254,137759200
30,30.125,29.9275,29.997499,28.410173,94852000
29.85,30.022499,29.842501,29.945,28.360449,102389200
30.112499,30.112499,29.932501,30,28.41254,130391600
30,30.202499,29.942499,30.02,28.43148,88200800
29.887501,30.025,29.875,29.9925,28.405436,92844000
30.105,30.525,30.07,30.469999,28.857664,129510400
30.4175,30.610001,30.4,30.485001,28.871874,105350400
30.535,30.5875,30.4,30.487499,28.874241,82251600
30.2325,30.407499,30.165001,30.407499,28.798475,121510000
30.2875,30.3475,30.155001,30.3375,28.732176,196804000
31.7575,32.622501,31.752501,32.1875,30.484282,447940000
31.995001,32.3475,31.945,32.1325,30.432201,134841600
32.077499,32.297501,32.040001,32.27,30.562422,98029200
32.282501,32.625,32.224998,32.572498,30.848915,107383600
32.634998,33.022499,32.612499,32.8825,31.142504,152735200
32.837502,33.055,32.805,33.009998,31.26326,92016400
32.912498,33.112499,32.779999,33.105,31.489168,113399600
33.115002,33.235001,33.012501,33.029999,31.41783,80262000
33.27,33.455002,33.1875,33.322498,31.696058,92141600
33.3675,33.772499,33.3125,33.755001,32.107441,132904800
33.880001,34.067501,33.654999,33.877499,32.223965,142492400
33.9175,33.974998,33.709999,33.837502,32.185925,90338400
33.775002,33.9575,33.775002,33.93,32.273911,88792800
34.057499,34.1875,33.994999,34.174999,32.506954,98028800
34.107498,34.279999,34.0275,34.2775,32.604443,83347600
34.345001,34.369999,34.075001,34.1325,32.466526,83152800
33.977501,34.165001,33.82,34.165001,32.49744,87106400
34.285,34.360001,34.07,34.232498,32.561634,81029600
34.27,34.360001,34.174999,34.247501,32.575912,93931600
34.4725,35.037498,34.400002,34.947498,33.241737,145658400
35,35.07,34.689999,34.740002,33.044365,104844000
34.695,34.9575,34.647499,34.945,33.239365,84432400
34.842499,34.942501,34.650002,34.834999,33.134731,87000000
